author,favorite_count,text,in_reply_to_screen_name,created_at,retweet_count,id_str,imagelink
LeaveEUOfficial,116,Leave campaign WINS audience vote @spectator Brexit debate. https://t.co/SWWnjqipTH https://t.co/yirHw4wO7x,,Sun May 01 17:30:21 +0000 2016,132,726826105504718848,https://pbs.twimg.com/media/ChY0fdAUgAAJ5ob.jpg
LeaveEUOfficial,249,The Great Escape -The #EUref - is our chance to get our democracy back &amp; escape rule from Brussels. #Brexit https://t.co/a141fLnSXb,,Wed Jun 15 08:44:47 +0000 2016,230,743001294772768768,https://pbs.twimg.com/media/Ck-rvQhWYAAjypk.jpg
Bricrabtree,0,@daily_politics @GiselaStuart I'm voting leave but if we did remain couldn't we just veto TTIP?,daily_politics,Tue Jun 07 12:23:51 +0000 2016,0,740157322543140866,NA
PaulMar79169096,0,@LibDemPress @agendaitv @timfarron   Can't say the evidence is exactly visible to the naked eye.,LibDemPress,Sun Jun 05 14:22:22 +0000 2016,0,739462370251157505,NA
vote_leave,116,Very glad to see @lucycthomas has now deleted her tweet condoning vandalism – no place for that in this referendum https://t.co/MUAE4L57Ij,vote_leave,Sat Jun 11 15:08:20 +0000 2016,132,741648265997848576,https://pbs.twimg.com/media/CkrdKEgWgAA6m_y.jpg
andrealeadsom,2,"#Elections today in NI, Scotland and Wales. English Local, London Assembly, Police Crime Commissioners and Mayoral. Don’t forget to vote!",,Thu May 05 09:27:01 +0000 2016,1,728154019529555968,NA
LeaveEUOfficial,95,EU referendum: Boris Johnson accuses Barack Obama of 'hypocrisy'. https://t.co/DDKxuM06c0,,Sat Apr 16 07:46:41 +0000 2016,66,721243399270068224,NA
DUPleader,181,The #GAWA already in full voice making all the noise! Daring to dream. #NIR https://t.co/oMatelnIj4,,Sun Jun 12 15:44:10 +0000 2016,40,742019671675834369,https://pbs.twimg.com/media/Ckwu3n6W0AA3IBX.jpg
Nigel_Farage,394,England's population to explode by 4 million. Our infrastructure cannot cope with open borders. We must Leave EU. https://t.co/9GY5YzRkMI,,Thu May 26 07:15:37 +0000 2016,408,735731096076177409,NA
peoplesvote_hq,12,"MUST-WATCH: More jobs, more opportunities and your rights protected - that's why we're all better off IN Europe.
https://t.co/OYwd5cb3Tw",,Tue May 24 17:57:31 +0000 2016,14,735167860914327552,NA
DavidDavisMP,21,"(3/3) Those countries have the lowest unemployment, highest wages, and lower levels of inequality",,Thu May 26 10:02:36 +0000 2016,21,735773119852347392,NA
vote_leave,147,THANK YOU to everyone who was out campaigning today. Sign up here to join! https://t.co/HgGq8rhAsy #TakeControl https://t.co/6EaJFVPgkG,,Sat Jun 04 19:34:10 +0000 2016,91,739178449743413250,https://pbs.twimg.com/media/CkIW4X1UUAA6UFg.jpg
vote_leave,35,We're live streaming Iain Duncan Smith's speech at 10:30 on our FB Page: https://t.co/Iu0BIHnmeU https://t.co/UqIG9yVP6v,,Tue May 10 09:04:13 +0000 2016,29,729960223377653760,https://pbs.twimg.com/media/CiFW9IrWsAAU9po.png
timfarron,55,Tories seem to want to do down the teaching profession at every opportunity &amp; I'll fight them every step of the way https://t.co/0gz0WD6rP1,,Thu Apr 28 21:34:39 +0000 2016,74,725800421537755137,NA
SadiqKhan,58,".@MCashmanCBE was born and brought up in London, pleased to have his support. I'll be a Mayor for all Londoners.
https://t.co/5ka1Pdam13",,Sun May 01 16:00:34 +0000 2016,57,726803510071726080,NA
LeaveEUOfficial,41,"“I don’t believe in the flag, I don’t believe in the anthem &amp; I don’t believe in all these various presidents"" https://t.co/o3rH35UOgO",,Mon Jun 06 10:57:11 +0000 2016,36,739773122170212352,NA
Nigel_Farage,667,Albanian migrants arriving on our shores illegally on boats must not be allowed to stay. https://t.co/q9UeDCzclb,,Mon May 30 10:34:41 +0000 2016,482,737230744582508544,NA
LiamFox,3,Discussing @ONS stats with @BBCNormanS on @BBCNews #ONS #EUref #Brexit #VoteLeave https://t.co/RobaEwMDW3,,Thu May 19 11:04:14 +0000 2016,6,733251916042502144,https://pbs.twimg.com/media/Ci0Iu1QW0AAgqs7.jpg
LeaveEUOfficial,54,Has there been a single incident of increased freedom being followed by a sustained decline in living standards? https://t.co/rv0kS3HXbB,,Mon Jun 13 14:49:21 +0000 2016,74,742368264299421696,NA
vote_leave,111,Wages have fallen due to uncontrolled EU immigration. We need to #VoteLeave and #TakeControl #BBCDebate https://t.co/3TvVKgOAft,,Wed Jun 08 18:36:18 +0000 2016,109,740613439270293508,https://pbs.twimg.com/media/Ckcv_z2WUAAypEr.jpg
steviehcohen,0,"@Independent @timfarron needs to stop talking shit and work out why when lab and con are so fucked, the libs aren't gaining popularity",Independent,Tue May 31 19:00:18 +0000 2016,0,737720376529170433,NA
RuthDavidsonMSP,6,"@euanmccolm well, I do like a vest, a power tool and some dungarees...",euanmccolm,Tue Jun 14 09:57:10 +0000 2016,1,742657124023566336,NA
andrealeadsom,0,@stuartyeates ❤️💕😍,stuartyeates,Thu Jun 23 19:36:04 +0000 2016,0,746064297164443648,NA
peoplesvote_hq,42,"What do 9/10 economists, Branson, Sugar &amp; Bank of England have in common? They all say we're better off IN Europe:
https://t.co/2ajXy4Xbpu",,Sun Jun 05 20:48:12 +0000 2016,62,739559469697245185,NA
LeaveEUOfficial,110,https://t.co/xTR5GoXLlL,,Sun May 29 06:00:35 +0000 2016,189,736799379688984576,https://pbs.twimg.com/media/CjmjIabUUAAdZzt.jpg
LeaveEUOfficial,283,"The EU border has been breached.

RETWEET if you agree the UK will be safer outside of political union with Europe. https://t.co/rsfqgv0Uyy",,Wed May 18 07:43:17 +0000 2016,508,732838958955175937,https://pbs.twimg.com/media/CiuRJkWWsAEBqcf.jpg
George_Osborne,75,Increasingly clear @vote_leave are making it up as they go along and have no plan. It's simply not good enough #StrongerIn,,Sun Jun 05 17:55:58 +0000 2016,52,739516123411054593,NA
